VOLTS,CURRNT_NAMP,TEMP_DEGC,RH_PRCNT,TIME
-0.5,-9.989380957969925e-07,25.0,30.0,2024-12-05 19:35:02
-0.49,-9.989248574837589e-07,25.0,30.0,2024-12-05 19:35:02
-0.48,-9.989087881359788e-07,25.0,30.0,2024-12-05 19:35:02
-0.47,-9.988892823323683e-07,25.0,30.0,2024-12-05 19:35:03
-0.45999999999999996,-9.988656051813285e-07,25.0,30.0,2024-12-05 19:35:03
-0.44999999999999996,-9.988368646335124e-07,25.0,30.0,2024-12-05 19:35:03
-0.43999999999999995,-9.988019778733877e-07,25.0,30.0,2024-12-05 19:35:03
-0.42999999999999994,-9.987596305235805e-07,25.0,30.0,2024-12-05 19:35:03
-0.41999999999999993,-9.987082271250055e-07,25.0,30.0,2024-12-05 19:35:03
-0.4099999999999999,-9.986458310270898e-07,25.0,30.0,2024-12-05 19:35:04
-0.3999999999999999,-9.98570091423424e-07,25.0,30.0,2024-12-05 19:35:04
-0.3899999999999999,-9.984781547838735e-07,25.0,30.0,2024-12-05 19:35:04
-0.3799999999999999,-9.983665573463018e-07,25.0,30.0,2024-12-05 19:35:04
-0.3699999999999999,-9.982310946174758e-07,25.0,30.0,2024-12-05 19:35:04
-0.3599999999999999,-9.980666629665313e-07,25.0,30.0,2024-12-05 19:35:04
-0.34999999999999987,-9.978670673429493e-07,25.0,30.0,2024-12-05 19:35:05
-0.33999999999999986,-9.976247878747062e-07,25.0,30.0,2024-12-05 19:35:05
-0.32999999999999985,-9.973306965530695e-07,25.0,30.0,2024-12-05 19:35:05
-0.31999999999999984,-9.969737133299784e-07,25.0,30.0,2024-12-05 19:35:05
-0.30999999999999983,-9.96540388671301e-07,25.0,30.0,2024-12-05 19:35:05
-0.2999999999999998,-9.960143968384294e-07,25.0,30.0,2024-12-05 19:35:05
-0.2899999999999998,-9.953759208073354e-07,25.0,30.0,2024-12-05 19:35:06
-0.2799999999999998,-9.946009056515752e-07,25.0,30.0,2024-12-05 19:35:06
-0.2699999999999998,-9.936601522600518e-07,25.0,30.0,2024-12-05 19:35:06
-0.2599999999999998,-9.925182172448653e-07,25.0,30.0,2024-12-05 19:35:06
-0.24999999999999978,-9.911320775926905e-07,25.0,30.0,2024-12-05 19:35:06
-0.23999999999999977,-9.894495097497048e-07,25.0,30.0,2024-12-05 19:35:07
-0.22999999999999976,-9.874071220712288e-07,25.0,30.0,2024-12-05 19:35:07
-0.21999999999999975,-9.849279665075583e-07,25.0,30.0,2024-12-05 19:35:07
-0.20999999999999974,-9.819186395449793e-07,25.0,30.0,2024-12-05 19:35:07
-0.19999999999999973,-9.782657631783587e-07,25.0,30.0,2024-12-05 19:35:07
-0.18999999999999972,-9.73831713334078e-07,25.0,30.0,2024-12-05 19:35:07
-0.17999999999999972,-9.684494348093458e-07,25.0,30.0,2024-12-05 19:35:08
-0.1699999999999997,-9.61916147377955e-07,25.0,30.0,2024-12-05 19:35:08
-0.1599999999999997,-9.53985705936654e-07,25.0,30.0,2024-12-05 19:35:08
-0.1499999999999997,-9.443593268565397e-07,25.0,30.0,2024-12-05 19:35:08
-0.13999999999999968,-9.326743311498123e-07,25.0,30.0,2024-12-05 19:35:08
-0.12999999999999967,-9.184904803446544e-07,25.0,30.0,2024-12-05 19:35:08
-0.11999999999999968,-9.012733902650095e-07,25.0,30.0,2024-12-05 19:35:09
-0.10999999999999968,-8.803743978205315e-07,25.0,30.0,2024-12-05 19:35:09
-0.09999999999999969,-8.550061222772255e-07,25.0,30.0,2024-12-05 19:35:09
-0.08999999999999969,-8.242128002665685e-07,25.0,30.0,2024-12-05 19:35:09
-0.0799999999999997,-7.868342768886868e-07,25.0,30.0,2024-12-05 19:35:09
-0.0699999999999997,-7.414622962551158e-07,25.0,30.0,2024-12-05 19:35:10
-0.0599999999999997,-6.863874446939294e-07,25.0,30.0,2024-12-05 19:35:10
-0.0499999999999997,-6.195347476740784e-07,25.0,30.0,2024-12-05 19:35:10
-0.039999999999999696,-5.383854940285591e-07,25.0,30.0,2024-12-05 19:35:10
-0.029999999999999694,-4.398823421621596e-07,25.0,30.0,2024-12-05 19:35:10
-0.01999999999999969,-3.2031413306932377e-07,25.0,30.0,2024-12-05 19:35:10
-0.009999999999999691,-1.751760704308959e-07,25.0,30.0,2024-12-05 19:35:11
